period,area_name,ndvi_mean,ndvi_mean_ma
2021-09-06,Tembalang,0.425800014509075,0.4296384739225211
2021-09-16,Tembalang,0.4276944529829619,0.4234817074222429
2021-09-26,Tembalang,0.4619613373359665,0.4307260238580218
2021-10-06,Tembalang,0.4313321782091453,0.4327738864337139
2021-10-16,Tembalang,0.4734766710291175,0.4440529308132532
2021-10-26,Tembalang,0.4880978429296888,0.456512496497376
2021-11-05,Tembalang,0.4651234289445207,0.4639982916896877
2021-12-05,Tembalang,0.521063798726516,0.4758187839677976
2021-12-15,Tembalang,0.5171013677279832,0.4929726218715652
2022-01-04,Tembalang,0.4537460396461748,0.4890264955949767
2022-01-14,Tembalang,0.2693684130660712,0.4452806096222532
2022-01-24,Tembalang,0.567971249270832,0.4658501736875154
2022-02-03,Tembalang,0.2152579527627387,0.40468900449476
